player,minutes_played,passes,completed_passes,shots,dribbles,tackles,interceptions,passes_per90,pass_accuracy,shots_per90,dribbles_per90,tackles_per90,interceptions_per90
Ricardo Andrade Quaresma Bernardo,255,66,0,5,9,0,1,23.294117647058822,0.0,1.7647058823529411,3.176470588235294,0.0,0.3529411764705882
Ricardo Domingos Barbosa Pereira,94,55,0,0,2,0,1,52.659574468085104,0.0,0.0,1.9148936170212765,0.0,0.9574468085106382
Ricardo Guardia Avila,173,43,0,1,3,0,1,22.36994219653179,0.0,0.5202312138728323,1.560693641618497,0.0,0.5202312138728323
Ricardo Iván Rodríguez Araya,372,216,0,6,8,0,1,52.258064516129025,0.0,1.4516129032258063,1.9354838709677418,0.0,0.24193548387096772
Robbie Kruse,207,56,0,1,0,0,0,24.347826086956523,0.0,0.4347826086956522,0.0,0.0,0.0
Robert Lewandowski,278,73,0,9,10,0,0,23.633093525179856,0.0,2.9136690647482015,3.237410071942446,0.0,0.0
Roberto Firmino Barbosa de Oliveira,382,41,0,6,5,0,1,9.659685863874346,0.0,1.4136125654450262,1.1780104712041886,0.0,0.2356020942408377
Robin Olsen,461,106,0,0,0,0,0,20.6941431670282,0.0,0.0,0.0,0.0,0.0
Rodney Wallace,94,5,0,0,0,0,0,4.787234042553191,0.0,0.0,0.0,0.0,0.0
Rodrigo Bentancur Colmán,365,227,0,3,8,0,9,55.97260273972603,0.0,0.7397260273972603,1.9726027397260275,0.0,2.219178082191781
Rodrigo Moreno Machado,308,10,0,4,1,0,0,2.9220779220779223,0.0,1.168831168831169,0.29220779220779225,0.0,0.0
Romain Saïss,184,93,0,1,0,0,3,45.48913043478261,0.0,0.48913043478260876,0.0,0.0,1.4673913043478262
Roman Zobnin,518,204,0,7,9,0,14,35.44401544401544,0.0,1.2162162162162162,1.5637065637065637,0.0,2.4324324324324325
Romelu Lukaku Menama,480,98,0,14,10,0,0,18.375,0.0,2.625,1.875,0.0,0.0
Román Aureliano Torres Morcillo,239,67,0,4,1,0,2,25.230125523012553,0.0,1.5062761506276152,0.3765690376569038,0.0,0.7531380753138076
Roozbeh Cheshmi,88,15,0,1,0,0,1,15.340909090909092,0.0,1.0227272727272727,0.0,0.0,1.0227272727272727
Ruben Loftus-Cheek,356,129,0,3,15,0,3,32.6123595505618,0.0,0.7584269662921348,3.792134831460674,0.0,0.7584269662921348
Rui Pedro dos Santos Patrício,373,77,0,1,0,0,0,18.579088471849865,0.0,0.24128686327077745,0.0,0.0,0.0
Rándall Azofeifa Corrales,94,2,0,0,0,0,0,1.9148936170212765,0.0,0.0,0.0,0.0,0.0
Rúrik Gíslason,188,34,0,1,0,0,1,16.27659574468085,0.0,0.4787234042553191,0.0,0.0,0.4787234042553191
Saber Khalifa,92,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sadio Mané,279,93,0,3,10,0,3,30.0,0.0,0.9677419354838709,3.225806451612903,0.0,0.9677419354838709
Saeid Ezatolahi Afagh,168,44,0,1,3,0,3,23.57142857142857,0.0,0.5357142857142857,1.6071428571428572,0.0,1.6071428571428572
Salem Mohammed Al Dawsari,275,164,0,7,19,0,6,53.67272727272728,0.0,2.290909090909091,6.218181818181819,0.0,1.9636363636363638
Salif Sané,277,125,0,4,0,0,7,40.61371841155234,0.0,1.2996389891696751,0.0,0.0,2.2743682310469313
Salman Mohammed Al Faraj,278,266,0,3,11,0,7,86.11510791366906,0.0,0.9712230215827338,3.5611510791366907,0.0,2.2661870503597124
Sam Morsy,94,24,0,0,0,0,2,22.97872340425532,0.0,0.0,0.0,0.0,1.9148936170212765
Saman Ghoddos,285,5,0,2,0,0,0,1.5789473684210527,0.0,0.6315789473684211,0.0,0.0,0.0
Sami Khedira,116,100,0,3,2,0,1,77.58620689655172,0.0,2.3275862068965516,1.5517241379310345,0.0,0.7758620689655172
Samuel Yves Umtiti,533,214,0,2,2,0,7,36.13508442776735,0.0,0.33771106941838647,0.33771106941838647,0.0,1.1819887429643527
